"","time_window","goal_func","num_maxM_days","memory","num_maxS_days","total_equivalent","k"
"259",15,0.3,0,0,0,"MaxS","3"
"260",15,0.4,0,0,0,"MaxS","3"
"261",15,0.45,0,0,249,"MaxS","3"
"262",15,0.5,4,0,245,"MaxM","3"
"263",15,0.55,84,0,165,"MaxM","3"
"264",15,0.6,86,0,163,"MaxM","3"
"265",15,0.65,89,0,160,"MaxM","3"
"266",15,0.7,0,0,0,"MaxS","3"
"267",15,0.75,110,0,139,"MaxM","3"
"268",15,0.8,0,0,0,"MaxS","3"
"269",15,0.9,0,0,0,"MaxS","3"
"270",15,1,249,0,0,"MaxM","3"
"271",20,0,0,0,249,"MaxS","3"
"272",20,0.1,0,0,0,"MaxS","3"
"273",20,0.2,0,0,0,"MaxS","3"
"274",20,0.3,0,0,0,"MaxS","3"
"275",20,0.4,0,0,0,"MaxS","3"
"276",20,0.45,3,0,246,"MaxS","3"
"277",20,0.5,22,0,227,"MaxM","3"
"278",20,0.55,120,0,129,"MaxM","3"
"279",20,0.6,130,0,119,"MaxM","3"
"280",20,0.65,122,0,127,"MaxM","3"
"281",20,0.7,0,0,0,"MaxS","3"
"282",20,0.75,138,0,111,"MaxM","3"
"283",20,0.8,0,0,0,"MaxS","3"
"284",20,0.9,0,0,0,"MaxS","3"
"285",20,1,249,0,0,"MaxM","3"
"286",25,0,0,0,249,"MaxS","3"
"287",25,0.1,0,0,0,"MaxS","3"
"288",25,0.2,0,0,0,"MaxS","3"
"289",25,0.3,0,0,0,"MaxS","3"
"290",25,0.4,0,0,0,"MaxS","3"
"291",25,0.45,2,0,247,"MaxS","3"
"292",25,0.5,14,0,235,"MaxM","3"
"293",25,0.55,158,0,91,"MaxM","3"
"294",25,0.6,160,0,89,"MaxM","3"
"295",25,0.65,160,0,89,"MaxM","3"
"296",25,0.7,0,0,0,"MaxS","3"
"297",25,0.75,159,0,90,"MaxM","3"
"298",25,0.8,0,0,0,"MaxS","3"
"299",25,0.9,0,0,0,"MaxS","3"
"300",25,1,249,0,0,"MaxM","3"
"301",10,0,0,5,249,"MaxS","3"
"302",10,0.1,0,5,0,"MaxS","3"
"303",10,0.2,0,5,0,"MaxS","3"
"304",10,0.3,0,5,0,"MaxS","3"
"305",10,0.4,0,5,0,"MaxS","3"
"306",10,0.45,0,5,249,"MaxS","3"
"307",10,0.5,0,5,249,"MaxS","3"
"308",10,0.55,97,5,152,"MaxM","3"
"309",10,0.6,95,5,154,"MaxM","3"
"310",10,0.65,104,5,145,"MaxM","3"
"311",10,0.7,0,5,0,"MaxS","3"
"312",10,0.75,97,5,152,"MaxM","3"
"313",10,0.8,0,5,0,"MaxS","3"
"314",10,0.9,0,5,0,"MaxS","3"
"315",10,1,249,5,0,"MaxM","3"
"316",15,0,0,5,249,"MaxS","3"
"317",15,0.1,0,5,0,"MaxS","3"
"318",15,0.2,0,5,0,"MaxS","3"
"319",15,0.3,0,5,0,"MaxS","3"
"320",15,0.4,0,5,0,"MaxS","3"
"321",15,0.45,0,5,249,"MaxS","3"
"322",15,0.5,30,5,219,"MaxM","3"
"323",15,0.55,110,5,139,"MaxM","3"
"324",15,0.6,96,5,153,"MaxM","3"
"325",15,0.65,120,5,129,"MaxM","3"
"326",15,0.7,0,5,0,"MaxS","3"
"327",15,0.75,122,5,127,"MaxM","3"
"328",15,0.8,0,5,0,"MaxS","3"
"329",15,0.9,0,5,0,"MaxS","3"
"330",15,1,249,5,0,"MaxM","3"
"331",20,0,0,5,249,"MaxS","3"
"332",20,0.1,0,5,0,"MaxS","3"
"333",20,0.2,0,5,0,"MaxS","3"
"334",20,0.3,0,5,0,"MaxS","3"
"335",20,0.4,0,5,0,"MaxS","3"
"336",20,0.45,2,5,247,"MaxS","3"
"337",20,0.5,49,5,200,"MaxM","3"
"338",20,0.55,141,5,108,"MaxM","3"
